Name,Professor_ID,Difficulty,Clarity,Grade
William Bird, 1, 3, 5, 3
James Nguyen, 30, 3, 1, 4
Crystal Vega, 13, 4, 1, 5
Diana Santana, 21, 4, 1, 5
Jill Wilson, 44, 4, 1, 4
Michael Warner, 25, 3, 4, 1
Andrew Lee, 21, 2, 3, 5
Vincent Smith, 19, 2, 4, 1
Jessica Buchanan, 29, 5, 5, 3
Michael Williams, 26, 1, 1, 4
Madison Olson, 11, 2, 1, 1
James Williams, 30, 4, 2, 4
John Barnes, 17, 4, 4, 5
Rebecca Weaver, 20, 4, 1, 5
Ross Conway, 22, 3, 2, 2
Marcus Alvarez, 49, 2, 2, 3
Christopher Ford, 30, 4, 2, 3
Daniel Ortiz, 35, 2, 4, 5
Cody Higgins, 1, 3, 1, 3
Diane Vaughn, 17, 1, 3, 2
Sara Barnes MD, 21, 2, 5, 5
Matthew Cervantes, 50, 1, 1, 2
Tamara Mendez, 15, 4, 2, 5
Kevin Miller, 35, 1, 2, 1
Mr. Phillip Brooks, 32, 2, 1, 3
Robert Hansen, 19, 1, 2, 1
Keith Duncan, 43, 3, 4, 1
Seth Pineda, 26, 5, 5, 5
Stephen Thompson, 14, 3, 1, 1
Patrick Rich, 48, 2, 1, 4
Evelyn Gibson, 30, 4, 4, 5
Yolanda Anderson, 1, 5, 3, 4
Tanya House, 3, 1, 5, 3
Caleb Rosario, 48, 1, 5, 5
Steven Peterson, 30, 3, 3, 1
Brian Barber, 29, 1, 1, 4
Felicia Miller, 42, 1, 5, 4
Christina Palmer, 3, 4, 5, 2
Ryan Marshall, 26, 5, 5, 1
Ricky Smith, 19, 3, 4, 2
Shannon Preston, 49, 4, 5, 4
Taylor Clark, 38, 1, 4, 5
Kimberly Price, 24, 2, 1, 4
Mike Smith, 10, 3, 5, 4
Kyle Torres, 30, 5, 5, 2
Richard Fuentes, 15, 5, 2, 5
Lori Butler, 34, 5, 5, 5
Robert Martinez, 25, 3, 2, 2
David Young, 37, 5, 2, 2
Kimberly Johnson, 17, 1, 5, 4
Michael Ray, 5, 3, 1, 3
James Taylor, 20, 3, 3, 3
John Mann, 29, 5, 2, 1
Susan Butler, 8, 2, 3, 5
Jennifer Matthews, 44, 4, 3, 3
Vincent Young, 47, 2, 4, 5
Mason Mann, 35, 1, 4, 2
Dylan Willis, 35, 4, 1, 3
Elizabeth Schwartz, 7, 5, 5, 3
John Gray, 24, 5, 5, 3
Christine Middleton, 36, 5, 3, 4
Lauren Bell, 31, 5, 4, 2
Frank Johnson, 15, 3, 5, 5
Henry Thompson, 32, 4, 3, 1
Tyler Mcdonald, 34, 4, 3, 1
Amanda Cortez, 20, 3, 3, 2
Katherine Mann, 25, 1, 2, 2
Richard Pearson, 5, 2, 4, 5
Ann Brown, 28, 3, 5, 3
Robert Lambert, 9, 3, 1, 3
Shelby Sanders, 14, 2, 2, 1
Christopher Hansen, 41, 2, 5, 4
Brandy Campos, 1, 2, 5, 3
Katie Clark, 16, 1, 4, 4
Mark Perez, 4, 2, 2, 1
Amanda Beltran, 26, 3, 5, 2
Shelley Moss, 29, 4, 5, 5
Richard Black, 30, 5, 5, 2
Brian Gonzalez, 46, 5, 2, 2
Michael Vaughn, 45, 4, 2, 3
Taylor Williams, 17, 4, 2, 2
Travis Parker, 46, 5, 4, 1
Jordan Johnson, 46, 3, 3, 2
Marissa Hammond, 28, 3, 2, 5
Rachel Scott, 25, 5, 4, 4
Jo Garner, 13, 4, 5, 1
Joy Rose, 37, 2, 3, 4
Brandon Mitchell, 2, 1, 1, 2
Andrea Lee, 32, 2, 3, 4
Bruce Livingston, 13, 2, 4, 2
Heather Wagner, 22, 1, 5, 4
Kelly Avila, 20, 3, 5, 4
Donna Fleming, 40, 1, 4, 3
Erika Haas, 22, 1, 5, 3
Christina Allen, 41, 1, 1, 4
Samuel Barnes, 5, 4, 5, 3
Mark Coleman, 16, 5, 1, 1
Allison Reese, 17, 3, 3, 4
Paul Clark, 1, 4, 1, 5
Teresa Price, 42, 4, 2, 2
Mary Montgomery, 14, 1, 2, 5
Dr. Gwendolyn Williams, 9, 3, 3, 5
Tyler Bowman, 46, 3, 3, 2
Michael Cobb, 32, 1, 1, 5
Brenda Stark, 45, 1, 1, 4
Christy Acevedo, 27, 5, 4, 3
Jerry Moore Jr., 9, 3, 5, 1
Kevin Nelson, 2, 3, 1, 1
Jeremy Thomas, 22, 3, 2, 4
Darren Lopez, 17, 3, 2, 3
Terry Velez, 47, 1, 1, 1
Angela Clark, 18, 2, 4, 5
Kristin Campbell, 47, 2, 5, 4
Christina Mitchell, 10, 5, 2, 3
Olivia Garcia, 31, 3, 1, 1
Beth Griffin MD, 14, 2, 2, 1
Brandon Franklin, 8, 1, 2, 5
Courtney Sanchez DVM, 49, 4, 4, 5
Michelle Hughes, 23, 3, 1, 3
Chad Ward, 10, 1, 4, 4
Jacqueline Parks, 31, 4, 4, 4
Steven Conway, 33, 3, 5, 5
Ryan Farmer Jr., 27, 2, 4, 2
Jeremiah Carroll, 21, 3, 1, 3
Jesse Cruz, 17, 5, 3, 5
Daniel Morrison, 37, 3, 1, 1
Krista Carroll, 49, 4, 3, 5
Dawn Mccann, 3, 1, 5, 4
Donald Taylor, 5, 1, 5, 4
Kelly Cruz, 37, 4, 1, 5
Anthony Williams, 35, 4, 5, 3
William Long, 1, 4, 5, 2
Derrick Adams, 50, 2, 5, 4
Tyler Goodwin, 8, 2, 3, 4
Charles Dickerson, 27, 1, 5, 3
Russell Hall, 46, 5, 2, 2
Charles Middleton, 11, 1, 4, 3
Jacqueline Sparks, 48, 1, 2, 5
Jenny Valdez, 7, 3, 4, 2
Daniel Fisher, 14, 4, 5, 1
John Andersen, 1, 4, 1, 5
Luis Foster, 27, 4, 1, 2
Ian Walker, 8, 4, 2, 5
Kristen Perry, 32, 1, 5, 1
Dwayne Morales, 21, 4, 4, 3
Kaitlyn Crawford, 41, 1, 3, 1
Amy Horton, 43, 4, 4, 3
Jessica Mcdonald, 13, 1, 2, 2
Sheila Briggs, 46, 4, 1, 1
Ashley Guzman, 11, 4, 3, 2
Colton Rangel, 21, 1, 5, 2
Robert Davis, 41, 2, 2, 2
Natalie Stanley, 3, 5, 2, 3
Andrew Colon, 3, 4, 4, 1
Kathleen Bishop, 49, 4, 2, 1
Anthony Summers, 41, 5, 2, 5
James Dean, 2, 1, 1, 3
Michael Edwards, 45, 5, 3, 3
April Clark, 15, 2, 5, 5
Emily Clark, 20, 3, 1, 1
John Tran, 50, 3, 2, 1
Sean Morton, 15, 3, 2, 5
Natalie Herrera, 20, 3, 4, 2
Zachary Johnson, 9, 1, 2, 1
Steven Terry, 35, 3, 3, 5
John Fisher, 21, 1, 2, 4
Hector Snyder, 31, 3, 5, 5
Angela Parker, 15, 1, 2, 1
Chelsea Romero, 30, 1, 3, 3
Sarah Koch, 48, 1, 3, 3
Brian Palmer, 11, 3, 3, 5
Tracy Wilkins, 49, 1, 5, 4
Benjamin Harrell, 45, 5, 4, 3
Dana Russell, 5, 3, 3, 2
Pamela Gonzalez, 17, 1, 1, 5
Jennifer Tate, 9, 3, 3, 4
Riley Armstrong, 10, 4, 5, 3
Alexander Lutz, 11, 2, 2, 2
Sarah Webb, 27, 1, 4, 3
Lori Williams, 3, 5, 1, 4
Nathan Gomez, 7, 1, 5, 2
Daniel Thompson, 49, 4, 4, 4
Cody Davis, 39, 3, 2, 3
Nathan Vargas, 45, 3, 3, 1
Debbie Alvarez, 42, 2, 2, 3
Barry Maxwell, 25, 1, 4, 2
Lindsey Proctor, 15, 5, 1, 2
Helen White, 40, 3, 5, 1
Patricia Tucker, 34, 1, 1, 4
Ernest Thomas, 32, 2, 3, 2
Katherine Medina, 8, 1, 2, 1
Christopher Terry, 40, 1, 2, 2
Jordan Moreno, 21, 5, 3, 2
Aaron Bennett, 40, 2, 3, 5
Antonio Ball, 32, 3, 4, 4
Kimberly Nicholson, 12, 4, 5, 1
Erica Snyder, 29, 5, 4, 5
Emily Robertson, 18, 4, 1, 4
Elizabeth Ortiz, 34, 3, 5, 1
Ashley Baxter, 46, 4, 3, 5
Allen Parker, 16, 1, 4, 4
Thomas Powell, 28, 3, 2, 5
Noah West, 35, 3, 1, 5
Angela Thompson, 28, 4, 1, 2
Leslie Brewer DVM, 6, 4, 4, 5
Jason Carrillo, 9, 5, 4, 5
Lori Mack, 45, 1, 1, 3
Frederick Keller, 35, 5, 1, 2
Brandy Chavez, 50, 2, 1, 1
Michael Neal, 44, 4, 5, 2
Courtney Owens, 16, 2, 3, 1
Jamie Adams, 26, 1, 1, 2
Pamela Armstrong, 38, 5, 5, 5
Jennifer Ruiz, 40, 5, 2, 5
Lauren Rogers, 3, 3, 3, 3
Dorothy Johnson, 47, 2, 4, 3
Amy Ayers, 38, 3, 3, 4
Beth Richardson, 26, 1, 3, 3
Timothy Horne, 44, 5, 1, 4
Mark Mendoza, 48, 3, 3, 5
Angela Johnson, 14, 3, 3, 5
Elizabeth Williams, 19, 3, 5, 5
Ruth Rose, 24, 3, 2, 1
Sarah Jones, 24, 4, 1, 3
Kyle Bishop, 17, 1, 5, 2
Robert Brown, 31, 3, 5, 5
Natasha Bradford, 8, 5, 5, 1
Kathryn Phillips, 6, 2, 5, 1
Jonathan Terry, 28, 1, 5, 5
Jonathan Freeman, 40, 4, 1, 1
Wendy Short, 29, 3, 4, 3
Russell Mosley, 12, 5, 3, 2
Samantha Padilla, 6, 4, 1, 3
Candace Moreno, 49, 3, 2, 5
Nicole Gomez, 28, 4, 4, 2
Justin Collins, 44, 4, 4, 2
Richard Sanchez, 11, 5, 4, 2
William Munoz, 10, 3, 3, 5
Monica Burton, 12, 4, 2, 2
Kim Schroeder, 34, 2, 2, 4
Matthew Williamson, 13, 5, 1, 5
Christopher Lewis, 41, 5, 2, 3
Brittany Green, 24, 1, 1, 4
Victor Coleman, 4, 2, 4, 5
Grant Rogers, 29, 3, 5, 2
Grace Peters, 37, 4, 2, 4
Joel Thompson, 48, 3, 4, 3
Laura Lewis, 5, 2, 1, 3
Nicholas Johnson, 27, 5, 4, 3
Melissa Reed, 26, 1, 3, 4
Belinda Beck, 40, 5, 1, 1
Scott Morris, 45, 5, 3, 1
Stacy Soto, 46, 3, 4, 3
Carrie Ortiz, 34, 2, 1, 4
John Richardson, 34, 4, 4, 1
Charles Roberts, 1, 3, 4, 1
Lisa Gilbert, 22, 1, 5, 2
Paul Hicks, 15, 4, 5, 3
Dawn Soto, 40, 4, 3, 5
Kelly Harrell, 33, 5, 5, 5
Christina Torres, 48, 2, 2, 3
John Mitchell, 43, 3, 1, 2
Ronald Wright, 13, 4, 2, 1
Dana Nelson, 27, 3, 5, 3
Kelly Stevens, 19, 4, 4, 5
John Walker, 35, 5, 1, 2
Regina Flores, 12, 5, 5, 5
Selena Fowler MD, 11, 3, 2, 3
Jeremiah Mendoza, 21, 4, 1, 5
Anthony Hill, 16, 4, 5, 2
Albert Thompson, 45, 3, 1, 1
Kathy Johnson, 4, 2, 3, 3
Jennifer Hernandez, 18, 4, 4, 1
Jennifer Cole, 45, 4, 5, 4
Brandon Townsend, 44, 1, 4, 1
Elaine Murphy, 47, 2, 4, 1
Sean Stone, 40, 3, 2, 5
Mrs. Stacey Griffith, 31, 1, 4, 4
Bobby Clark, 32, 4, 2, 2
Jill Wheeler, 15, 2, 5, 4
Cody Perez, 44, 3, 2, 2
Lisa Choi, 33, 1, 1, 2
Joshua Walker, 29, 2, 3, 5
Martin Torres, 2, 4, 5, 2
Steven Scott, 4, 1, 1, 5
Pamela King, 4, 3, 4, 2
Jason Gomez, 47, 3, 2, 4
Rebecca Yang, 44, 3, 4, 4
Andrea May, 2, 5, 5, 4
Theresa Cummings, 16, 4, 2, 5
Jessica Jackson, 25, 2, 5, 4
Jeffery Hughes, 5, 2, 4, 1
Connor Davis, 1, 1, 3, 5
Colton Smith, 27, 1, 4, 3
Ronald Shelton, 36, 5, 2, 5
Emily Barnes, 39, 3, 2, 3
Carolyn Scott, 33, 4, 3, 3
Jenny Murillo, 8, 4, 4, 2
Matthew Warren, 7, 5, 2, 3
Robert Collins, 44, 4, 2, 5
Joshua Grant, 16, 4, 4, 1
Roberto Anthony, 35, 1, 2, 4
Dana Kelley, 14, 1, 2, 5
Kyle Gutierrez, 43, 4, 1, 5
Kathy Cochran, 18, 2, 3, 5
John Johnston, 10, 1, 1, 4
Holly Garcia, 15, 2, 5, 1
Eric Williams, 5, 2, 4, 4
Lydia Richards, 16, 2, 1, 5
Lori Holmes, 31, 2, 4, 5
James Miller, 35, 3, 4, 2
Stephanie Wilkerson, 27, 4, 2, 3
Laura Brooks, 21, 1, 2, 2
Jerry Smith, 24, 4, 5, 5
Michael Bailey, 19, 3, 3, 3
Christopher Hutchinson, 30, 4, 4, 2
Kayla Dean, 19, 2, 3, 2
Nicholas Watts, 47, 1, 3, 5
Kenneth Blake, 24, 1, 1, 2
Sarah Peterson, 45, 2, 1, 5
Gregory Green, 46, 2, 5, 4
Ann Marquez, 7, 3, 3, 5
Brianna Ortega, 21, 5, 3, 1
Emily Lee, 1, 2, 5, 3
Matthew Carr, 37, 2, 1, 5
Isabella Robertson, 14, 4, 2, 4
Dennis Castro, 10, 2, 3, 5
Lisa Wang, 39, 3, 4, 2
Robert Martinez, 20, 5, 5, 3
Kathleen Crane, 49, 4, 4, 3
David Alvarado, 23, 2, 2, 5
Elizabeth Mckay, 9, 4, 3, 1
Jay Robinson, 50, 2, 3, 1
Timothy Johnson, 30, 1, 3, 5
Taylor Stevens, 10, 2, 1, 3
Willie Padilla, 47, 1, 2, 2
Colton Wagner, 1, 3, 4, 1
April Spencer, 31, 4, 5, 4
Mrs. Karen Lopez, 29, 1, 2, 3
William Martinez, 3, 3, 3, 4
Alan Chung, 14, 5, 5, 1
Jared Hayes, 39, 5, 4, 5
David Miller, 3, 5, 5, 1
Allison Terry, 2, 3, 5, 5
Morgan Vaughan, 19, 2, 3, 3
David Copeland, 50, 4, 4, 3
Jacqueline Jacobs, 7, 4, 4, 2
Sean Patton, 5, 2, 1, 1
Tina Owens, 26, 3, 5, 5
Geoffrey Moore, 29, 5, 2, 5
Dan Gomez, 1, 3, 3, 5
Jeffrey Williams, 40, 2, 5, 5
Lawrence Anderson, 24, 5, 4, 2
Scott Green, 17, 1, 1, 3
Deborah Choi, 46, 3, 5, 4
Brandy Davis, 4, 1, 1, 2
Rachel Suarez, 5, 4, 5, 4
Stephanie Rogers, 12, 1, 5, 3
Lauren Gomez, 29, 2, 1, 4
Brenda Dean, 13, 4, 5, 4
Catherine Bennett, 25, 3, 2, 4
Jose Moore, 17, 1, 1, 1
Alexander Scott, 40, 4, 4, 3
Alexandra Moore, 28, 3, 1, 3
Karen Crane, 26, 3, 1, 4
Emily Buck, 17, 3, 3, 1
James Clarke, 45, 2, 4, 2
Jacob Frederick, 6, 1, 2, 5
Mr. Corey Foley MD, 2, 3, 4, 3
Roy Conner, 1, 2, 5, 2
Christina Ho, 45, 2, 3, 5
Allison Bailey, 37, 3, 1, 2
Nicholas Cruz, 48, 4, 2, 4
Scott Jackson, 12, 1, 4, 3
Brooke Ruiz, 41, 5, 2, 4
Theresa Huber, 36, 5, 4, 4
Joshua Jackson, 37, 1, 1, 3
Amy Anderson, 39, 3, 1, 5
Mrs. Vanessa Yang, 12, 1, 3, 1
Peter Mcconnell, 5, 1, 2, 1
Joshua Gutierrez, 33, 1, 5, 2
Karla Duncan, 16, 3, 1, 1
Frank Gibbs, 5, 1, 4, 3
Sandra Mercado, 37, 2, 1, 3
Joseph Huber, 12, 2, 3, 3
Brian Cunningham, 8, 1, 4, 4
Christian Martin, 42, 3, 2, 1
Edgar Garrett, 28, 5, 3, 5
Sarah Carlson, 6, 2, 2, 4
Jessica Jenkins, 31, 1, 3, 2
Peter Martinez, 7, 3, 2, 5
Amanda Hernandez, 42, 5, 3, 1
Christopher Foley, 4, 2, 4, 2
Theresa Henderson, 13, 5, 1, 5
Shawn Powell, 29, 5, 1, 5
Austin Hayden, 10, 1, 3, 3
Savannah Brown, 46, 4, 1, 5
Bobby Hull, 35, 4, 3, 1
Wayne Schaefer, 9, 5, 3, 1
Nicholas Gamble, 41, 4, 5, 4
Cody Murphy, 10, 2, 4, 5
Roger Simmons, 40, 3, 4, 2
Laura Bond, 35, 2, 3, 3
Craig Garcia, 28, 2, 1, 1
Stephanie Ryan, 28, 3, 2, 2
Dawn Morris, 19, 3, 3, 4
Matthew Small, 2, 5, 1, 4
Nicholas Holt, 12, 3, 2, 2
Maria Hoffman, 18, 5, 3, 4
Christopher Murillo, 9, 3, 5, 4
Gwendolyn Barnes, 42, 4, 3, 4
William Hancock, 17, 3, 4, 1
Nicole Myers, 48, 3, 2, 3
Karen Krueger, 10, 4, 2, 2
Cameron Williams, 25, 2, 2, 5
Keith Brown, 43, 2, 5, 4
Tiffany Bowers, 35, 5, 1, 5
Joshua Thompson, 13, 5, 2, 2
Tracy Schultz, 19, 1, 3, 3
Gerald Diaz, 30, 3, 1, 4
Kristen Valdez, 43, 3, 4, 5
Mr. Paul Maddox PhD, 43, 5, 5, 5
Kristen Garza, 12, 1, 2, 4
Chris Jackson, 1, 2, 3, 2
Thomas Anderson, 28, 5, 4, 2
Ryan May, 40, 3, 4, 4
Ryan Fields, 32, 5, 1, 4
Jorge Boyd, 16, 3, 2, 4
Elizabeth Duncan, 41, 2, 5, 5
Mary Jones, 22, 3, 1, 1
Brittany Palmer, 8, 4, 1, 3
Elizabeth Wallace, 11, 4, 4, 1
Kayla Walker, 42, 2, 4, 2
Stephanie Buckley, 31, 4, 2, 4
Robert Robinson, 42, 3, 4, 5
Colleen Morales, 19, 3, 5, 3
Amy Shaffer, 9, 2, 5, 4
Charles Patterson, 25, 4, 2, 1
Alyssa Pierce, 35, 3, 1, 5
Joshua Davis, 10, 3, 5, 2
Mark Franklin, 39, 2, 1, 5
Michael Ayala, 10, 1, 1, 3
Scott Kelley, 12, 2, 3, 5
Emily Taylor, 44, 4, 5, 3
Richard Bender, 31, 3, 5, 2
Sara Collins, 17, 4, 4, 1
Anthony Reese, 28, 4, 2, 5
Albert Schmidt, 29, 4, 3, 3
Donna Clark, 9, 1, 4, 1
Candice Newman, 12, 4, 3, 1
Christopher Rivera, 12, 3, 4, 2
Kristen Spears, 11, 2, 2, 2
Antonio Ellison, 13, 4, 5, 4
Stacy Cunningham, 21, 2, 1, 3
Kaitlyn Tyler, 7, 3, 5, 3
Stacey Buchanan, 28, 4, 4, 2
Kevin Wilson, 30, 1, 3, 2
Courtney Hunt, 5, 4, 4, 5
Margaret Bates, 16, 4, 3, 4
Steven Johnson, 43, 2, 1, 1
Jeffrey Roth, 45, 2, 4, 4
Patrick Malone, 24, 5, 4, 4
Erika Andrade, 18, 5, 2, 5
Laura Owens, 35, 4, 1, 4
Sharon Reeves, 25, 3, 3, 5
James Anderson, 40, 1, 1, 4
Kristin Rios, 26, 3, 4, 5
Miss Denise Lewis, 11, 3, 3, 5
Timothy Ruiz, 16, 5, 5, 5
Mary Taylor DVM, 12, 3, 1, 4
Ashley Hines, 28, 4, 2, 2
Dennis Blair, 48, 3, 4, 3
Michael Brown, 19, 5, 2, 1
Anthony Cunningham, 11, 1, 5, 1
Tommy Palmer, 30, 1, 2, 4
Larry Lopez, 43, 5, 1, 1
Nichole Nelson MD, 13, 1, 4, 2
Jennifer Odonnell, 3, 3, 5, 4
Christopher Taylor, 31, 4, 2, 4
Jacob Haynes, 26, 4, 2, 3
Hannah Gutierrez PhD, 40, 1, 3, 5
Carol Collins, 30, 3, 1, 5
Adam Morgan, 50, 3, 1, 1
Susan Booker, 22, 5, 1, 4
Jonathan Martin, 4, 4, 3, 5
Jason Lara, 13, 2, 1, 4
Jack Tran, 48, 4, 4, 2
Larry Smith, 42, 1, 2, 4
Michael Obrien, 34, 3, 3, 5
Michael Paul, 40, 1, 2, 2
Jose Sanchez, 41, 4, 2, 5
Stephen Chapman, 47, 5, 4, 5
Mr. Nicholas Valenzuela DDS, 1, 3, 2, 4
Dylan Pratt, 26, 2, 5, 1
Kelsey Gordon, 27, 1, 5, 1
Rebecca Bauer, 48, 1, 1, 2
Crystal Ware, 22, 5, 5, 5
Stephanie Bradley, 10, 5, 1, 5
Luis Green, 3, 1, 1, 3
Eric Anderson, 44, 4, 1, 3
David Smith, 15, 4, 3, 3
Thomas Perry, 36, 1, 2, 2
Caitlin Waters, 27, 2, 5, 4
Melissa Warren, 21, 4, 2, 5
Alan Anderson, 6, 3, 2, 5
Gary Garcia, 38, 5, 2, 1
Daniel Garcia, 17, 3, 2, 2
Stephanie Flores, 18, 3, 2, 1
Patty Dillon, 40, 4, 1, 4
William Moss, 4, 1, 5, 5
John Holmes, 22, 2, 4, 2
Jeremy Jimenez, 48, 4, 5, 4
Daniel Walsh, 45, 1, 1, 3
Rachael Simmons, 32, 5, 5, 1
Jo Bennett, 9, 2, 5, 5
Julie Alvarado, 48, 1, 4, 4
Christina White, 34, 3, 2, 3
Michelle Peterson, 1, 2, 1, 2
Kevin Johnson, 26, 2, 4, 1
Laura Campbell, 15, 3, 2, 2
Michael Reynolds, 34, 4, 2, 4
Charlotte Thompson, 44, 5, 3, 4
Samantha Peters, 39, 4, 3, 2
Benjamin Sanders, 48, 4, 1, 3
Ashley Savage, 23, 5, 5, 5
Donna Hansen, 14, 1, 4, 1
Adrian Bradford, 4, 4, 3, 4
Kendra Meyer, 7, 4, 4, 5
Anna Wall, 16, 2, 2, 5
Tammy Gilbert, 33, 2, 3, 3
Eric Davis, 50, 1, 2, 2
Grace Anderson, 38, 3, 3, 3
Jason Lawson, 6, 3, 3, 5
Tamara Zavala, 3, 4, 3, 1
Kristin Coffey, 10, 1, 5, 3
Luke Woodward, 15, 3, 1, 4
Caitlin Reeves, 45, 5, 4, 1
Luke Nguyen, 12, 5, 1, 5
Carrie Morales, 48, 1, 5, 3
Vernon Miller, 25, 4, 4, 5
Bradley Hill, 32, 3, 1, 5
Jordan Williams, 5, 1, 1, 1
Glenn Mason, 8, 1, 2, 4
Kevin Richards, 11, 4, 2, 4
Eric Zamora, 25, 2, 2, 3
Brenda Cooper, 16, 3, 1, 4
